node 1,node 2,node 3,node 4,node 5,node 6,node 7,node 8,node 9,node 10
0,2,1,3,4,6,5,19,12,8
0,3,1,2,14,23,4,5,13,8
0,4,3,1,2,5,7,6,8,20
0,4,3,2,1,25,17,5,8,23
0,1,2,3,4,5,6,11,7,12
0,2,1,3,40,4,5,6,38,32
0,1,10,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,14,8
0,1,8,7,6,5,4,3,2,9
0,1,10,2,3,4,5,6,7,8
0,1,2,3,8,4,5,6,10,7
0,1,8,7,6,5,4,3,2,18
0,1,2,3,4,7,5,6,8,11
0,1,8,7,6,5,4,3,2,9
0,1,2,3,39,4,5,6,7,13
0,1,8,7,6,5,4,3,2,18
0,1,8,7,6,5,4,3,2,9
0,1,2,3,4,6,8,5,10,9
0,1,4,3,2,10,9,5,6,7
0,2,5,4,1,3,34,6,7,8
0,6,3,1,2,4,5,7,23,21
0,1,5,4,3,2,17,6,9,8
0,1,3,2,19,4,16,5,20,17
0,1,2,3,8,4,5,6,11,12
0,1,8,7,6,5,4,3,2,9
0,1,2,3,4,5,9,10,11,12
0,1,7,6,5,4,3,2,9,11
0,3,1,2,14,23,4,5,13,8
0,1,2,3,4,5,6,7,14,8
0,1,10,2,3,4,5,6,7,8
0,2,3,1,23,4,5,17,6,12
0,1,2,5,4,3,8,7,10,11
0,1,2,3,4,5,6,12,7,10
0,1,2,3,4,5,6,8,7,10
0,1,2,3,4,5,6,12,10,11
0,1,2,11,3,4,5,6,10,13
0,2,1,5,4,3,7,6,18,19
0,1,2,3,4,5,11,6,8,9
0,2,3,1,5,4,19,6,7,11
0,3,1,2,20,4,5,8,12,14
0,1,2,3,4,5,13,6,7,8
0,1,7,6,5,4,3,2,9,8
0,1,2,3,4,5,6,7,10,8
0,2,3,1,4,5,10,7,15,18
0,1,2,3,4,5,13,6,11,8
0,2,1,17,3,5,6,9,4,10
0,1,2,3,4,5,12,7,8,6
0,1,2,3,6,10,4,5,7,11
0,1,8,7,6,5,4,3,2,9
0,3,7,6,5,2,1,4,10,11
0,1,5,2,3,4,7,22,19,16
0,2,8,7,6,5,4,3,9,1
0,1,2,3,6,4,11,12,13,5
0,5,4,3,1,2,19,21,6,11
0,1,10,2,3,4,5,6,7,8
0,1,10,2,3,4,5,6,7,8
0,1,2,3,4,5,6,10,11,12
0,1,8,7,6,5,4,3,2,18
0,1,2,3,4,11,5,6,7,8
0,2,8,7,6,5,4,3,9,1
0,1,2,3,4,5,10,7,6,12
0,1,2,3,4,5,7,6,10,14
0,1,2,3,5,6,7,4,9,10
0,1,2,3,4,5,6,9,10,7
0,1,8,7,6,5,4,3,2,18
0,1,2,3,4,11,5,6,8,10
0,3,2,1,10,4,5,8,7,19
0,1,4,3,2,15,5,6,9,13
0,1,2,3,13,4,10,12,6,7
0,1,2,3,4,18,11,7,8,5
0,1,2,3,8,5,4,6,10,9
0,2,1,5,3,4,6,37,13,7
0,1,6,5,4,3,2,9,11,10
0,1,2,6,3,4,5,10,13,8
0,1,4,3,2,13,5,6,7,17
0,1,2,3,4,6,9,5,11,8
0,1,10,2,3,4,5,6,7,8
0,1,2,3,4,10,5,6,11,7
0,1,7,6,5,4,3,2,9,14
0,1,8,7,6,5,4,3,2,9
0,2,4,3,1,6,17,5,7,24
0,2,1,7,3,4,5,6,49,9
0,1,2,3,4,6,9,5,11,8
0,1,8,7,6,5,4,3,2,18
0,1,8,7,6,5,4,3,2,18
0,1,2,3,4,5,6,7,10,9
0,1,2,3,4,9,5,11,6,10
0,1,5,2,4,3,8,6,7,9
0,1,10,12,2,3,4,5,6,7
0,1,2,3,4,5,11,6,7,9
0,1,2,3,4,5,6,7,10,9
0,1,2,3,4,9,5,10,6,8
0,1,2,3,4,5,10,6,8,9
0,1,2,3,9,4,5,6,7,8
0,1,2,3,5,6,7,8,9,4
0,1,2,3,4,5,6,8,10,11
0,1,10,2,3,4,5,6,7,8
0,2,1,29,3,4,5,28,26,23
0,1,4,3,2,5,12,6,8,7
0,2,8,7,6,5,4,3,1,9
0,3,17,2,1,10,11,8,13,14
0,3,1,2,15,5,4,6,7,19
0,2,7,6,5,4,3,1,32,9
0,1,2,3,4,15,5,7,10,13
0,1,7,4,3,2,12,5,6,9
0,2,7,6,5,4,3,1,9,14
0,1,2,3,4,5,6,7,11,8
0,1,6,5,4,3,2,9,7,17
0,2,3,1,17,4,5,6,8,7
0,1,2,3,4,5,11,7,6,12
0,2,8,7,6,5,4,3,9,1
0,1,4,3,2,9,5,14,12,7
0,2,3,1,14,6,5,4,8,7
0,1,2,3,4,5,6,7,10,8
0,1,11,12,2,3,4,5,6,7
0,1,2,3,4,5,11,12,13,14
0,1,8,7,6,5,4,3,2,18
0,1,2,3,4,5,13,6,7,8
0,1,3,2,5,4,8,18,9,6
0,1,2,3,4,5,6,7,10,9
0,3,1,2,19,5,4,6,10,8
0,1,8,7,6,5,4,3,2,9
0,2,6,5,4,1,3,8,7,9
0,1,2,3,4,10,11,7,12,13
0,1,2,3,4,11,5,6,7,9
0,1,2,3,4,6,9,5,10,8
0,1,5,4,3,2,6,8,7,19
0,2,5,4,3,1,30,6,7,8
0,2,3,1,11,4,5,18,22,6
0,1,10,2,3,4,5,6,7,8
0,1,2,12,4,3,5,6,11,7
0,1,3,2,4,11,7,6,5,17
0,1,5,4,3,2,6,8,20,19
0,1,2,3,4,5,11,10,6,7
0,2,6,1,3,4,5,17,7,14
0,1,2,3,4,5,6,10,11,12
0,5,4,3,1,2,19,21,6,11
0,1,10,11,12,13,2,3,4,5
0,1,7,6,5,4,3,2,9,8
0,1,2,3,12,15,5,4,6,11
0,2,1,3,4,8,7,6,5,22
0,1,2,3,4,6,5,11,8,9
0,1,10,2,3,4,5,6,7,11
0,1,2,3,6,7,9,8,4,5
0,1,10,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,11
0,2,1,3,4,5,6,7,16,18
0,1,2,3,5,6,7,9,13,4
0,2,6,5,4,3,1,7,8,9
0,1,2,3,4,12,5,6,10,11
0,1,2,7,4,3,5,6,10,9
0,1,2,3,4,13,5,6,8,11
0,2,4,3,1,6,5,7,8,27
0,1,2,3,35,4,5,7,6,13
0,1,10,11,12,13,2,3,4,5
0,1,2,3,10,4,5,6,8,9
0,1,10,2,3,4,5,6,7,8
0,1,6,3,2,4,5,9,7,8
0,1,2,3,4,5,11,6,7,9
0,1,10,11,12,13,2,3,4,5
0,2,1,3,29,4,5,6,7,50
0,1,2,3,4,5,7,10,11,6
0,3,2,1,21,4,5,7,26,10
0,1,2,3,4,5,7,6,8,10
0,2,1,3,5,60,8,4,7,9
0,1,2,3,4,5,10,11,6,9
0,1,8,7,6,5,4,3,2,9
0,2,8,7,6,5,4,3,1,9
0,3,4,1,2,10,8,6,5,7
0,1,2,3,4,8,5,6,7,10
0,2,6,5,4,3,1,7,34,9
0,4,1,2,3,27,5,6,7,16
0,1,3,2,16,13,14,15,12,11
0,1,2,3,5,7,4,6,10,8
0,2,4,3,1,8,7,6,5,16
0,2,8,7,6,5,4,3,9,1
0,1,2,3,4,5,9,6,10,12
0,1,2,3,4,5,6,7,10,8
0,1,2,3,4,5,7,12,6,8
0,1,2,3,4,5,6,10,11,8
0,1,10,11,12,13,2,3,4,5
0,1,5,4,3,2,19,14,15,8
0,1,2,3,4,8,10,5,6,9
0,2,4,3,1,27,6,5,7,9
0,3,2,1,18,5,4,6,7,8
0,1,10,12,2,3,4,5,6,7
0,2,8,7,6,5,4,3,9,1
0,1,8,7,6,5,4,3,2,18
0,1,2,3,5,6,7,11,4,10
0,1,7,6,5,4,3,2,11,9
0,1,10,2,3,4,5,6,7,8
0,1,4,3,2,6,5,12,7,9
0,1,10,2,3,4,5,6,7,8
0,1,14,6,5,2,4,3,10,11
0,1,2,3,4,5,7,12,6,10
0,1,4,3,2,5,6,8,18,9
0,1,3,2,11,4,8,7,5,9
0,1,2,9,3,4,5,11,13,12
0,1,10,2,3,4,5,6,7,8
0,2,3,1,11,4,14,5,8,7
0,1,10,2,3,4,5,6,11,7
0,1,2,3,4,7,5,6,9,10
0,2,3,1,4,11,30,5,6,9
0,3,1,2,13,4,5,6,7,10
0,1,6,5,4,3,2,7,8,17
0,1,2,3,4,6,8,5,10,9
0,1,2,3,4,5,8,6,7,9
0,1,3,2,16,4,5,6,22,10
0,1,3,2,4,5,7,6,22,21
0,1,2,3,4,7,5,6,15,8
0,1,2,3,4,8,5,6,7,10
0,1,2,25,3,4,23,5,6,12
0,1,10,11,12,13,2,3,4,5
0,3,4,1,2,14,5,8,11,12
0,1,8,7,6,5,4,3,2,21
0,1,10,2,3,4,5,6,7,8
0,2,1,23,3,4,6,5,24,22
0,1,10,2,3,4,5,6,7,8
0,1,2,3,4,5,6,10,11,7
0,2,4,3,1,39,5,6,7,9
0,1,2,3,4,5,6,10,8,11
0,1,2,3,10,4,6,5,7,18
0,3,1,4,2,13,5,6,14,16
0,1,2,7,3,4,11,13,5,8
0,1,3,2,21,4,5,6,8,7
0,2,3,1,23,4,5,6,9,22
0,3,1,2,23,4,5,6,14,16
0,3,8,7,6,5,1,4,2,16
0,2,4,3,1,5,6,8,16,7
0,1,3,2,13,6,5,4,8,7
0,1,2,8,3,5,4,11,12,6
0,1,8,7,6,5,4,3,2,9
0,1,4,3,2,8,5,7,6,17
0,2,1,3,4,5,6,10,7,13
0,1,2,3,4,5,6,7,10,11
0,2,1,22,3,4,5,6,13,14
0,1,2,3,4,13,5,7,8,10
0,1,6,5,4,3,2,10,21,15
0,1,2,3,5,7,8,4,6,11
0,2,8,7,6,5,4,3,9,1
0,1,8,7,6,5,4,3,2,9
0,1,2,3,4,9,5,8,10,6
0,2,5,4,3,1,6,7,13,17
0,1,10,2,3,4,5,6,7,8
0,1,2,3,4,5,7,6,11,13
0,1,4,3,2,19,6,5,8,7
0,1,2,3,4,7,5,6,10,8
0,1,10,2,3,4,5,6,7,8
0,1,8,5,4,3,2,7,9,10
0,1,10,2,3,4,5,6,7,8
0,1,2,3,14,4,7,6,5,8
0,1,2,14,3,4,5,6,9,17
0,2,1,7,5,4,3,6,8,16
0,1,2,3,15,4,10,11,5,12
0,1,2,3,4,5,6,11,7,12
0,2,5,4,3,1,8,7,6,9
0,1,6,5,4,3,2,10,21,15
0,1,2,3,4,5,6,7,8,10
0,2,8,7,6,5,4,3,9,1
0,1,2,3,4,5,6,7,11,12
0,1,2,3,4,5,12,6,10,13
0,1,2,3,4,8,11,5,6,7
0,1,2,3,4,5,11,7,6,10
0,1,2,3,4,5,10,8,6,7
0,1,2,3,4,11,5,6,7,8
0,2,4,3,1,8,5,6,29,28
0,1,10,2,3,4,5,6,7,8
0,1,6,5,4,3,2,9,13,12
0,1,6,5,4,3,2,8,7,15
0,1,2,3,4,5,6,7,8,10
0,1,2,3,4,5,6,10,12,8
0,1,8,7,6,5,4,3,2,18
0,12,7,1,2,3,4,5,6,18
0,3,5,2,4,1,6,30,10,8
0,1,3,2,12,4,6,5,9,14
0,1,7,6,5,4,3,2,9,13
0,3,2,1,18,8,6,5,4,7
0,1,2,3,4,5,7,8,9,6
0,1,11,12,2,3,4,5,6,7
0,1,2,3,9,4,5,10,13,12
0,1,2,3,4,5,6,12,10,11
0,1,2,3,4,12,5,6,7,10
0,1,7,4,3,2,12,5,6,9
0,1,2,3,4,5,11,12,14,8
0,1,3,4,2,27,26,5,6,7
0,1,2,12,3,4,14,10,11,13
0,1,2,3,4,5,13,6,12,7
0,2,3,1,11,4,5,8,7,6
0,1,2,3,4,7,5,6,11,8
0,2,7,6,15,5,4,3,1,10
0,1,2,3,4,5,6,10,11,8
0,2,8,7,6,5,4,3,1,9
0,1,8,7,6,5,4,3,2,9
0,2,3,1,8,7,4,6,5,23
0,1,2,14,3,4,5,7,6,20
0,1,3,2,10,4,8,5,9,15
0,1,3,2,12,4,5,6,7,10
0,1,10,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,9,12
0,2,1,23,4,3,5,6,8,7
0,1,6,3,2,5,4,7,16,15
0,1,2,3,5,4,6,11,8,10
0,1,2,3,4,5,10,11,12,6
0,1,2,3,4,5,8,6,7,11
0,1,2,3,13,5,4,6,7,16
0,1,2,3,4,5,6,13,10,11
0,1,2,3,4,5,6,11,7,9
0,1,2,3,4,13,5,6,7,10
0,2,1,24,3,4,5,30,12,10
0,4,5,1,2,3,6,10,8,12
0,1,2,3,12,4,5,11,6,9
0,1,2,3,4,5,6,12,7,10
0,1,10,2,3,4,5,6,7,8
0,1,2,3,4,5,6,10,11,7
0,3,1,2,19,4,5,6,53,8
0,2,6,5,4,3,1,29,7,10
0,1,2,3,5,4,7,6,8,20
0,2,8,7,6,5,4,3,9,1
0,1,8,7,6,5,4,3,2,9
0,1,2,3,11,4,12,5,8,10
0,1,2,3,4,5,6,11,7,12
0,5,1,2,4,3,19,6,7,11
0,1,5,4,3,2,12,7,6,9
0,3,1,2,13,4,5,14,8,7
0,1,11,3,2,21,8,9,4,7
0,1,10,2,3,4,5,6,7,8
0,1,4,3,2,5,6,8,9,13
0,1,2,3,5,6,8,9,4,7
0,1,2,3,4,5,6,10,11,7
0,1,2,3,4,5,6,7,12,13
0,5,2,1,4,3,8,6,7,18
0,1,10,11,12,13,2,3,4,5
0,1,2,3,4,5,6,7,11,9
0,1,5,4,3,2,8,9,6,7
0,1,10,2,3,4,5,6,7,8
0,1,10,2,3,4,5,6,7,8
0,1,10,2,3,4,5,6,8,9
0,1,2,3,7,4,5,6,10,8
0,1,2,3,5,4,10,11,13,6
0,1,2,3,4,5,8,6,10,11
0,1,2,3,4,5,10,6,7,8
0,6,5,4,3,1,2,8,7,20
0,1,4,3,2,5,6,13,15,16
0,1,3,2,15,6,5,4,7,8
0,2,8,7,6,5,4,3,9,1
0,2,1,3,4,5,6,9,8,7
0,1,4,3,2,16,5,15,12,8
0,1,2,3,10,6,4,5,11,12
0,1,10,12,2,3,4,5,6,7
0,1,3,2,4,5,9,10,8,17
0,1,2,3,4,5,13,7,6,8
0,1,2,3,4,5,6,7,10,9
0,2,6,5,4,1,3,45,7,8
0,1,2,3,4,5,7,8,6,9
0,3,4,1,2,7,6,5,14,8
0,1,5,3,2,6,4,7,18,17
0,1,2,3,11,4,6,5,7,8
0,2,1,9,3,4,5,6,21,10
0,1,7,6,5,4,3,2,10,16
0,1,2,3,4,7,6,5,12,8
0,1,2,3,4,5,6,9,7,10
0,1,3,2,5,15,4,6,7,18
0,1,2,3,4,5,7,8,6,9
0,1,2,3,4,5,6,13,10,11
0,3,1,4,2,10,5,6,7,13
0,1,2,3,4,5,6,7,12,14
0,1,2,3,4,5,6,7,12,13
0,1,8,7,6,5,4,3,2,9
0,1,5,4,3,2,6,8,9,7
0,1,10,11,12,2,3,4,5,6
0,1,2,3,4,5,8,10,11,12
0,1,10,2,3,4,5,6,7,8
0,4,1,2,5,3,6,7,10,8
0,1,2,3,5,6,4,10,13,14
0,1,2,3,10,12,5,6,7,8
0,1,10,12,2,3,4,5,6,7
0,1,2,3,4,5,6,12,7,8
0,1,10,2,3,4,5,6,7,8
0,1,2,3,4,9,5,10,6,8
0,2,3,1,30,4,5,7,6,9
0,2,8,7,6,5,4,3,1,9
0,1,6,5,4,3,2,7,9,12
0,1,10,2,3,4,5,6,7,8
0,1,4,3,2,15,5,7,9,6
0,1,2,3,5,6,4,10,8,9
0,1,2,3,4,8,9,5,6,11
0,1,10,2,3,4,5,6,11,7
0,1,2,3,4,5,6,10,13,14
0,1,2,3,8,5,6,7,4,9
0,1,2,3,4,5,9,10,6,7
0,1,6,5,4,3,2,7,8,9
0,1,8,7,6,5,4,3,2,9
0,3,1,2,4,8,5,6,20,10
0,1,4,3,2,5,6,8,7,15
0,1,2,3,4,5,10,11,12,6
0,1,10,2,3,4,5,6,7,8
0,1,2,3,4,5,6,11,7,8
0,1,2,3,4,5,6,7,8,11
0,2,3,1,10,4,5,7,25,24
0,1,2,3,4,10,5,6,7,8
0,2,3,1,20,6,4,5,7,9
0,2,5,4,1,3,6,17,7,8
0,1,10,2,3,4,5,6,7,8
0,2,3,1,9,4,5,6,19,8
0,1,2,3,4,8,10,5,6,9
0,1,10,2,3,4,5,6,7,8
0,1,10,2,3,4,5,6,7,8
0,1,2,3,4,5,11,6,7,9
0,1,5,4,3,2,8,6,9,10
0,2,1,17,3,4,6,5,7,8
0,1,2,3,12,5,4,6,10,8
0,1,6,5,4,3,2,8,7,9
0,1,4,3,2,5,6,8,7,15
0,1,2,3,4,5,6,7,13,8
0,1,2,3,6,7,12,4,5,8
0,1,4,3,2,6,5,7,9,22
0,1,2,3,4,5,8,6,7,12
0,1,2,3,4,5,9,6,10,12
0,2,1,35,3,4,5,6,8,7
0,2,1,3,5,4,10,7,18,14
0,1,2,3,4,5,6,10,12,7
0,1,10,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,10
0,1,10,2,3,4,5,6,7,8
0,1,8,7,6,5,4,3,2,18
0,1,8,6,4,3,2,9,12,11
0,1,8,7,6,5,4,3,2,9
0,1,3,2,22,4,5,7,6,16
0,3,1,2,14,4,5,6,16,8
0,1,2,3,4,5,7,12,6,8
0,1,2,3,4,5,10,6,9,11
0,1,2,3,4,5,9,6,10,11
0,2,5,4,3,1,25,7,6,8
0,2,6,5,1,4,3,11,20,7
0,1,2,3,4,5,13,6,7,10
0,1,2,11,3,4,6,9,12,8
0,1,2,10,3,4,5,6,18,22
0,1,2,3,4,5,6,7,11,14
0,1,2,4,6,7,8,9,3,5
0,2,4,1,3,14,5,8,12,6
0,1,8,7,6,5,4,3,2,9
0,1,8,7,6,5,4,3,2,9
0,1,5,3,2,4,6,9,8,7
0,3,2,1,4,5,6,32,7,29
0,1,2,13,4,3,5,8,19,9
0,1,2,12,3,4,5,6,48,8
0,2,3,1,4,16,5,6,7,9
0,2,7,6,5,4,3,1,10,8
0,1,2,3,5,6,4,10,11,7
0,3,2,1,4,18,5,8,7,6
0,1,2,3,4,6,5,10,11,12
0,1,2,3,10,4,5,12,11,13
0,4,2,3,1,120,5,6,7,8
0,1,10,2,3,4,5,6,7,8
0,1,8,7,6,5,4,3,2,9
0,1,10,2,3,4,5,6,7,8
0,2,4,3,1,15,26,5,7,6
0,2,8,7,6,5,4,3,1,9
0,1,2,3,4,5,7,6,9,8
0,1,3,2,5,27,4,6,10,7
0,1,2,3,11,4,10,5,7,8
0,1,6,5,4,3,2,16,7,8
0,2,4,1,3,5,51,6,13,12
0,1,10,2,3,4,5,6,7,8
0,2,8,7,6,5,4,1,3,9
0,1,10,2,3,4,5,6,7,8
0,1,10,12,2,3,4,5,6,7
0,1,2,3,5,6,4,10,11,7
0,1,2,3,12,15,5,4,6,11
0,1,2,3,4,9,6,5,10,11
0,1,2,3,4,5,6,7,8,9
0,1,8,7,6,5,4,3,2,9
0,2,1,3,17,4,5,6,14,15
0,1,8,7,6,5,4,3,2,18
0,3,2,1,18,4,7,6,8,5
0,1,2,3,4,5,6,7,8,10
0,1,2,3,4,5,8,13,6,7
0,4,3,2,1,7,5,16,9,15
0,2,7,6,5,4,3,1,8,9
0,1,3,2,5,4,7,8,12,6
0,16,7,6,5,4,3,1,2,13
0,1,7,6,5,4,3,2,19,12
0,1,3,2,7,4,5,6,13,10
0,1,2,3,4,5,11,10,6,8
0,1,2,3,4,5,6,7,9,12
0,1,2,3,4,5,7,8,6,9
0,2,4,3,1,20,6,5,17,8
0,1,2,3,4,5,6,7,10,11
0,2,4,3,1,35,5,7,6,9
0,1,10,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,10,8
0,1,8,7,6,5,4,3,2,9
0,1,5,4,3,2,6,8,17,14
0,1,2,3,7,4,11,12,6,9
0,1,2,3,4,5,10,11,6,7
0,1,10,2,3,4,5,6,7,8
0,1,4,3,2,6,5,9,10,7
0,1,4,3,2,8,7,5,9,15
0,1,4,3,2,5,6,19,8,18
0,1,8,7,6,5,4,3,2,18
0,1,10,2,3,4,5,6,7,8
0,1,2,5,3,4,10,6,7,9
0,1,2,3,7,4,11,5,8,9
0,1,2,3,4,11,5,10,12,6
